track_id,track_name,artist,album,release_date,popularity,genres
1lQA14W438jpaVgzSIf78R,"Pies Descalzos, Sueños Blancos",Shakira,Pies Descalzos,1995,0,latin pop
1gmQ4XZ41GDuNHXhGEZE5f,Donde Estas Corazon,Shakira,Pies Descalzos,1995,0,latin pop
3ZlleUP5EE2rixueLVCi2M,Rose of Sharyn,Killswitch Engage,The End of Heartache,2004,44,"metalcore, metal"
2hrF1aiAFGa7bWgt2qhyrc,Blitzkrieg Bop - 1999 Remaster,Ramones,Greatest Hits,2006-06-05,39,"punk, proto-punk"
5MzulII6UaQgBoyByemn7G,Cretin Hop - 1999 Remaster,Ramones,Greatest Hits,2006-06-05,26,"punk, proto-punk"
4gPSAnvK9r3rMTicnYH46P,Teenage Lobotomy - 1999 Remaster,Ramones,Greatest Hits,2006-06-05,27,"punk, proto-punk"
6DG7feiVEFgOb3pk9YSPET,I Wanna Be Sedated - 1999 Remaster,Ramones,Greatest Hits,2006-06-05,33,"punk, proto-punk"
3bcYb4HwWlytUFLny0e0Q1,With Or Without You,U2,The Joshua Tree,1987-03-10,0,rock
5MEMiHV54Y5ODV1zvEPsyp,I Still Haven't Found What I'm Looking For,U2,The Joshua Tree,1987-03-10,0,rock
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,83,"classic rock, rock"
3WRvaMXMfFwToX1ODurUeS,Púdrete,Skapulario,Animal,2003-06-24,23,"rock en español, ska, spanish-language reggae, latin rock"
4Wa7m09y1QotyuDwkOU0lM,Eres Veneno,Skapulario,Hoy,2008-05-30,26,"rock en español, ska, spanish-language reggae, latin rock"
1y1DrkkbVmTVHY6SG0Fsqj,Yerba Mala,Skapulario,Animal,2003-06-24,15,"rock en español, ska, spanish-language reggae, latin rock"
2FGlKErUYWolsQckMT4J79,Entre Tu Y Yo,Skapulario,Hoy,2008-05-30,10,"rock en español, ska, spanish-language reggae, latin rock"
0VGUHMYITLg49pYhhCnKCs,Delincuente Por Tu Amor,Skapulario,Hoy,2008-05-30,4,"rock en español, ska, spanish-language reggae, latin rock"
27iCj4etz3S4bU8o5rw5kW,Tú y Yo,Skapulario,Animal,2003-06-24,10,"rock en español, ska, spanish-language reggae, latin rock"
0LjRZlTOwX0jgs91MttlQ7,Quisera Ser Yo (live),Sí Señor,Live,2010-11-06,16,"rock en español, latin rock"
5wY1LCfdL2Kv1KFpq5eRlB,Hot Dog,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),2000-10-13,0,"nu metal, rap metal, alternative metal, rap rock"
4KB1dLfqgTDYZmUsNgWaQT,Quiero Ser Mujer,Skapulario,Animal,2003-06-24,19,"rock en español, ska, spanish-language reggae, latin rock"
1P3Qh4gJeZQ3kPkWxLqCRR,My Generation,Limp Bizkit,Greatest Hitz,2005-11-08,36,"nu metal, rap metal, alternative metal, rap rock"
5MYsvAONqcsIVOwu2HTQ3p,Faith,Limp Bizkit,"Three Dollar Bill, Y'all $",1997-01-01,66,"nu metal, rap metal, alternative metal, rap rock"
29zBV9FqP3C9UpUdbqziV4,Y Lo Que Quiero Es Que Pises Sin El Suelo,Catupecu Machu,Cuentos Decapitados,2000,0,"argentine rock, latin rock"
2P4nkjgWgL1m1bUlDlFljJ,Eso Vive,Catupecu Machu,Cuentos Decapitados,2000,0,"argentine rock, latin rock"
4F96zM5ndY372n3lHwS5BZ,Puto,Molotov,Dónde Jugarán Las Niñas 10th Anniversary Edition,2008-01-01,49,"rock en español, mexican rock, latin rock, ska, latin alternative, mexican hip hop, latin hip hop"
5EdAZT57Pg0RBKCTOj2MgE,¿Por Qué No Te Haces Para Alla?.. Al Mas Alla,Molotov,Dónde Jugarán Las Niñas 10th Anniversary Edition,2008-01-01,45,"rock en español, mexican rock, latin rock, ska, latin alternative, mexican hip hop, latin hip hop"
5gbxzSqABThINGDb7vIiwe,Edge of Desire,John Mayer,Battle Studies,2009-11-13,60,singer-songwriter
6wZI4mdT8JwXgkGURnBQiq,Say,John Mayer,Say,2006-10-13,61,singer-songwriter
4gs07VlJST4bdxGbBsXVue,Heartbreak Warfare,John Mayer,Battle Studies,2009-11-13,63,singer-songwriter
5yEPxDjbbzUzyauGtnmVEC,Bitter Sweet Symphony,The Verve,Urban Hymns,1997-09-29,3,"britpop, shoegaze"
3dix9ONSeCaR05vk8K2kEQ,Breaking the Law,Judas Priest,British Steel - 30th Anniversary,2010-05-10,21,"heavy metal, metal, hard rock, glam metal"
283jwnOotGVLOMfHK1f0fS,Living After Midnight,Judas Priest,The Essential Judas Priest,2006,0,"heavy metal, metal, hard rock, glam metal"
3uhBMeBwwVm09tAN1sxNUl,Whip It,Powerman 5000,"Copies, Clones & Replicants",2011-08-30,25,"industrial metal, nu metal, industrial rock, alternative metal, rap metal, industrial"
7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,Hands All Over,2010,74,pop
0mIllpvSLn6pEgBNTkCmKX,This Love,Maroon 5,Won't Go Home Without You,2007,32,pop
6KlESwx6JWh4QiPYRU4Nm3,Smooth Criminal,Alien Ant Farm,The Best Of Alien Ant Farm 20th Century Masters The Millennium Collection,2008-01-01,48,"nu metal, alternative metal"
6txRkfpo1Y9pbbnoWIrMXX,Name Of The Game - Reprise,The Crystal Method,Tweekend,2001,21,"big beat, breakbeat, electronica"
6aF5JtQSrh7wNrkDE9B0My,When Worlds Collide,Powerman 5000,Tonight The Stars Revolt,1999-01-01,65,"industrial metal, nu metal, industrial rock, alternative metal, rap metal, industrial"
2yY4ojg6wfEFBGVZoJuXqK,Bombshell,Powerman 5000,Anyone For Doomsday?,2001,55,"industrial metal, nu metal, industrial rock, alternative metal, rap metal, industrial"
0DS0BNLlV1G3yAkYPOf8BA,Blue Monday,Orgy,Music From The Motion Picture Not Another Teen Movie,2001-04-01,28,"industrial rock, industrial metal, nu metal, industrial"
3Kw4KEYQg6JaqUD8ZgAwz6,The Beautiful People,Marilyn Manson,Lest We Forget - The Best Of,2004-01-01,46,"industrial metal, industrial rock, industrial, metal, nu metal"
1ANc3O9jWyP6B9f4WQkiad,Tainted Love,Marilyn Manson,Music From The Motion Picture Not Another Teen Movie,2001-04-01,39,"industrial metal, industrial rock, industrial, metal, nu metal"
6dpWbwQ4ZGNSW6q4yKCiRZ,The Dope Show,Marilyn Manson,Lest We Forget - The Best Of,2004-01-01,35,"industrial metal, industrial rock, industrial, metal, nu metal"
7w6mABASmYMrOqjHLDRKPk,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),Korn,The Path of Totality,2011-12-05,15,"nu metal, metal, rap metal, alternative metal"
1CEfnLggzqGnYl7mV2nWuf,"Another Brick in the Wall, Pt. 1, 2, 3",Korn,"Greatest Hits, Vol. 1",2004,0,"nu metal, metal, rap metal, alternative metal"
02NcZ0ugRA786A64bnsnnc,Twisted Transistor,Korn,Twisted Transistor,2005-09-27,0,"nu metal, metal, rap metal, alternative metal"
1bTSiS8Wr48znnWAtrVTkY,Got The Life,Korn,Follow The Leader,1998-08-14,0,"nu metal, metal, rap metal, alternative metal"
